"Log in as admin","Đăng nhập như là quản trị viên"
"Log in as customer","Đăng nhập như khách hàng"
"Log in to use <strong>%s</strong>","Đăng nhập để sử dụng <strong>%s</strong>"
"Login","Đăng nhập"
"My Applications","Ứng dụng của tôi"
"Name","Tên"
"New Consumer","Người tiêu dùng mới"
"OAuth","OAuth"
"OAuth Admin My Apps","Ứng dụng OAuth Admin của tôi"
"OAuth Authorized Tokens","Thẻ ủy quyền OAuth"
"OAuth Consumers","OAuth người tiêu dùng"
"OAuth authorization Pop Up for customer","Ủy quyền OAuth Pop Up cho khách hàng"
"OAuth authorization for admin","Ủy quyền OAuth cho quản trị viên"
"OAuth authorization for customer","Ủy quyền OAuth cho khách hàng"
"OAuth authorization simple for admin","Ủy quyền OAuth đơn giản cho quản trị viên"
"Password","Mật khẩu"
"Permissions","Sự chấp nhận"
"Please login to proceed authorization.","Vui lòng đăng nhập để tiến hành ủy quyền."
"Please select needed row(s).","Vui lòng chọn dòng cần thiết."
"Please select revoke status.","Vui lòng chọn trạng thái thu hồi."
"REST - My Apps","REST - Ứng dụng của tôi"
"REST - OAuth Authorized Tokens","REST - Thẻ ủy quyền OAuth"
"REST - OAuth Consumers","REST - OAuth người tiêu dùng"
"Reject","Từ chối"
"Reject OAuth token authorization","Từ chối thẻ ủy quyền OAuth"
"Reject authorization","Từ chối ủy quyền"
"Reject token authorization Pop Up for admin","Từ chối thẻ ủy quyền Pop Up cho quản trị viên"
"Reject token authorization for admin","Từ chối thẻ ủy quyền cho quản trị viên"
"Rejected Callback URL","Từ chối URL gọi lại"
"Rejection Of Authorization","Từ chối cấp phép"
"Revoked","Bị thu hồi"
"Role Name","Tên chức năng"
"Save","Lưu"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Secret","Bí mật"
"Selected entries enabled.","Mục được chọn đã bật."
"Selected entries has been deleted.","Mục được chọn đã bị xóa."
"Selected entries revoked.","Mục được chọn bị thu hồi."
"Status","Trạng thái"
"System","Hệ thống"
"The application access request is rejected.","Các yêu cầu truy cập ứng dụng bị từ chối."
"The consumer has been deleted.","Người tiêu dùng đã bị xóa."
"The consumer has been saved.","Người tiêu dùng đã được lưu."
"Token Status Change","Thay đổi trạng thái thẻ"
"Token Status Change Email Template","Thay đổi trạng thái thẻ email mẫu"
"Unable to find a consumer.","Không thể tìm thấy một người tiêu dùng."
"User ID","ID người sử dụng"
"User Name","Tên người sử dụng"
"User Type","Loại người dùng"
"Verifier code: %s","Mã xác nhận: %s"
"You have no applications.","Bạn không có ứng dụng."
"deleted","đã xóa"
"enabled","đã bật"
"revoked","đã thu hồi"
