"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Quy định giá giỏ mua sắm dựa trên ""%s"" thuộc tính đã tắt."
"%s Coupon(s) have been generated","%s Phiếu giảm giá đã được tạo"
"Actions","Hành động"
"If empty no separation.","Nếu trống không sự phân chia."
"If you select and save the rule you will be able to generate multiple coupon codes.","Nếu bạn chọn và lưu các quy tắc bạn sẽ có thể tạo ra nhiều mã phiếu giảm giá."
"Inactive","Không hoạt động"
"Item totals are not set for rule.","Tổng số mục không được thiết lập quy tắc."
"Labels","Nhãn"
"Manage Coupon Codes","Quản lý mã phiếu giảm giá"
"Maximum Qty Discount is Applied To","Số lượng chiết khấu tối đa được áp dụng để"
"NOT FOUND","KHÔNG TÌM THẤY"
"NOT LOGGED IN","CHƯA ĐĂNG NHẬP"
"New Rule","Quy tắc mới"
"No","Không"
"No Coupon","Không phiếu giảm giá"
"Not valid data provided","Không cung cấp dữ liệu hợp lệ"
"Number of Uses","Số sử dụng"
"Numeric","Dạng số"
"Payment Method","Phương thức thanh toán"
"Percent of product price discount","Phần trăm chiết khấu giá sản phẩm"
"Period","Giai đoạn"
"Price in cart","Giá trong giỏ hàng"
"Priority","Độ ưu tiên"
"Product attribute combination","Kết hợp thuộc tính sản phẩm"
"Products subselection","Sản phẩm lựa chọn phụ"
"Promotions","Khuyến mãi"
"Public In RSS Feed","Công khai trong nguồn dữ liệu RSS"
"Quantity in cart","Số lượng trong giỏ"
"Row total in cart","Tổng số dòng trong giỏ"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Rule is not defined","Quy tắc không được định nghĩa"
"Sales Discount Amount","Số tiền chiết khấu bán hàng"
"Sales Subtotal Amount","Số lượng tổng phụ bán hàng"
"Sales Total Amount","Tổng số tiền bán hàng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Shipping Country","Nước vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"Shipping Postcode","Mã bưu chính vận chuyển"
"Shipping Region","Khu vực vận chuyển"
"Shipping State/Province","Tiểu bang/Tỉnh giao hàng"
"Shopping Cart Price Rule","Quy tắc giá giỏ mua sắm"
"Shopping Cart Price Rules","Quy tắc giá giỏ mua sắm"
"Special Price","Giá đặc biệt"
"Specific Coupon","Phiếu giảm giá cụ thể"
"Status","Trạng thái"
"Stop Further Rules Processing","Dừng thêm các quy tắc xử lý"
"Store View Specific Labels","Nhãn cụ thể cửa hàng xem"
"Subtotal","Tổng phụ"
"Subtotal Amount","Số tiền tổng phụ"
"The rule has been deleted.","Quy tắc đã bị xóa."
"The rule has been saved.","Quy tắc đã được lưu."
"This rule no longer exists.","Quy tắc này không còn tồn tại."
"Times Used","Số lần sử dụng"
"To Date","Đến ngày"
"To Fixed Value","Để cố định giá trị"
"To Percentage","Để tỷ lệ phần trăm"
"Total","Toàn bộ"
"Total Amount","Tổng cộng"
"Total Items Quantity","Số lượng tổng số mục"
"Total Weight","Tổng khối lượng"
"Unable to create requested Coupon Qty. Please check settings and try again.","Không thể tạo số lượng phiếu giảm giá được yêu cầu. Vui lòng kiểm tra thiết lập và thử lại."
"Unable to find a rule to delete.","Không thể tìm thấy quy tắc để xóa."
"Update prices using the following information","Cập nhật giá sử dụng theo thông tin"
"Update product's %s %s: %s","Cập nhật sản phẩm %s %s: %s"
"Update the Product","Cập nhật sản phẩm"
"Usage limit enforced for logged in customers only","Giới hạn sử dụng được thực thi cho chỉ khách hàng đăng nhập"
"Use Auto Generation","Sử dụng tạo tự động"
"Used","Đã dùng"
"Uses per Coupon","Sử dụng cho mỗi phiếu giảm giá"
"Uses per Customer","Sử dụng cho mỗi khách hàng"
"Website","Trang web"
"Websites","Các trang web"
"Wrong rule specified.","Sai quy tắc được chỉ định."
"Yes","Có"
"total amount","tổng số tiền"
"total quantity","tổng số lượng"
